Location Ids,Hanwella
Time,Flow
2019-07-03 00:00:00,100.00
2019-07-03 01:00:00,97.47
2019-07-03 02:00:00,94.99
2019-07-03 03:00:00,92.59
2019-07-03 04:00:00,90.24
2019-07-03 05:00:00,87.95
2019-07-03 06:00:00,85.72
2019-07-03 07:00:00,83.55
2019-07-03 08:00:00,81.43
2019-07-03 09:00:00,79.37
2019-07-03 10:00:00,77.36
2019-07-03 11:00:00,75.40
2019-07-03 12:00:00,73.48
2019-07-03 13:00:00,71.62
2019-07-03 14:00:00,69.81
2019-07-03 15:00:00,68.04
2019-07-03 16:00:00,66.31
2019-07-03 17:00:00,64.63
2019-07-03 18:00:00,62.99
2019-07-03 19:00:00,61.40
2019-07-03 20:00:00,59.84
2019-07-03 21:00:00,58.32
2019-07-03 22:00:00,56.85
2019-07-03 23:00:00,55.40
2019-07-04 00:00:00,54.00
2019-07-04 01:00:00,52.63
2019-07-04 02:00:00,51.30
2019-07-04 03:00:00,50.00
2019-07-04 04:00:00,48.73
2019-07-04 05:00:00,47.49
2019-07-04 06:00:00,46.29
2019-07-04 07:00:00,45.12
2019-07-04 08:00:00,43.97
2019-07-04 09:00:00,42.86
2019-07-04 10:00:00,41.77
2019-07-04 11:00:00,40.71
2019-07-04 12:00:00,39.68
2019-07-04 13:00:00,38.68
2019-07-04 14:00:00,37.70
2019-07-04 15:00:00,36.74
2019-07-04 16:00:00,35.81
2019-07-04 17:00:00,34.90
2019-07-04 18:00:00,34.02
2019-07-04 19:00:00,33.15
2019-07-04 20:00:00,32.31
2019-07-04 21:00:00,31.49
2019-07-04 22:00:00,30.70
2019-07-04 23:00:00,29.92
2019-07-05 00:00:00,29.16
2019-07-05 01:00:00,28.42
2019-07-05 02:00:00,27.70
2019-07-05 03:00:00,27.00
2019-07-05 04:00:00,26.31
2019-07-05 05:00:00,25.65
2019-07-05 06:00:00,25.00
2019-07-05 07:00:00,24.36
2019-07-05 08:00:00,23.75
2019-07-05 09:00:00,23.14
2019-07-05 10:00:00,22.56
2019-07-05 11:00:00,21.99
2019-07-05 12:00:00,21.43
2019-07-05 13:00:00,20.88
2019-07-05 14:00:00,20.36
2019-07-05 15:00:00,19.84
2019-07-05 16:00:00,19.34
2019-07-05 17:00:00,18.85
2019-07-05 18:00:00,18.37
2019-07-05 19:00:00,17.90
2019-07-05 20:00:00,17.45
2019-07-05 21:00:00,17.01
2019-07-05 22:00:00,16.58
2019-07-05 23:00:00,16.16
2019-07-06 00:00:00,15.75
2019-07-06 01:00:00,15.35
2019-07-06 02:00:00,14.96
2019-07-06 03:00:00,14.58
2019-07-06 04:00:00,14.21
2019-07-06 05:00:00,13.85
2019-07-06 06:00:00,13.50
2019-07-06 07:00:00,13.16
2019-07-06 08:00:00,12.82
2019-07-06 09:00:00,12.50
2019-07-06 10:00:00,12.18
2019-07-06 11:00:00,11.87
2019-07-06 12:00:00,11.57
2019-07-06 13:00:00,11.28
2019-07-06 14:00:00,10.99
2019-07-06 15:00:00,10.71
2019-07-06 16:00:00,10.44
2019-07-06 17:00:00,10.18
2019-07-06 18:00:00,9.92
2019-07-06 19:00:00,9.67
2019-07-06 20:00:00,9.42
2019-07-06 21:00:00,9.18
2019-07-06 22:00:00,8.95
2019-07-06 23:00:00,8.72
2019-07-07 00:00:00,8.50
2019-07-07 01:00:00,8.29
2019-07-07 02:00:00,8.08
2019-07-07 03:00:00,7.87
2019-07-07 04:00:00,7.67
2019-07-07 05:00:00,7.48
2019-07-07 06:00:00,7.29
2019-07-07 07:00:00,7.10
2019-07-07 08:00:00,6.92
2019-07-07 09:00:00,6.75
2019-07-07 10:00:00,6.58
2019-07-07 11:00:00,6.41
2019-07-07 12:00:00,6.25
2019-07-07 13:00:00,6.09
2019-07-07 14:00:00,5.94
2019-07-07 15:00:00,5.79
2019-07-07 16:00:00,5.64
2019-07-07 17:00:00,5.50
2019-07-07 18:00:00,5.36
2019-07-07 19:00:00,5.22
2019-07-07 20:00:00,5.09
2019-07-07 21:00:00,4.96
2019-07-07 22:00:00,4.83
2019-07-07 23:00:00,4.71
2019-07-08 00:00:00,4.59
2019-07-08 01:00:00,4.48
2019-07-08 02:00:00,4.36
2019-07-08 03:00:00,4.25
2019-07-08 04:00:00,4.14
2019-07-08 05:00:00,4.04
2019-07-08 06:00:00,3.94
2019-07-08 07:00:00,3.84
2019-07-08 08:00:00,3.74
2019-07-08 09:00:00,3.64
2019-07-08 10:00:00,3.55
2019-07-08 11:00:00,3.46
2019-07-08 12:00:00,3.37
2019-07-08 13:00:00,3.29
2019-07-08 14:00:00,3.21
2019-07-08 15:00:00,3.12
2019-07-08 16:00:00,3.04
2019-07-08 17:00:00,2.97
2019-07-08 18:00:00,2.89
2019-07-08 19:00:00,2.82
2019-07-08 20:00:00,2.75
2019-07-08 21:00:00,2.68
2019-07-08 22:00:00,2.61
2019-07-08 23:00:00,2.54
2019-07-09 00:00:00,2.48
2019-07-09 01:00:00,2.42
2019-07-09 02:00:00,2.36
2019-07-09 03:00:00,2.30
2019-07-09 04:00:00,2.24
2019-07-09 05:00:00,2.18
2019-07-09 06:00:00,2.13
2019-07-09 07:00:00,2.07
2019-07-09 08:00:00,2.02
2019-07-09 09:00:00,1.97
2019-07-09 10:00:00,1.92
2019-07-09 11:00:00,1.87
2019-07-09 12:00:00,1.82
2019-07-09 13:00:00,1.78
2019-07-09 14:00:00,1.73
2019-07-09 15:00:00,1.69
2019-07-09 16:00:00,1.64
2019-07-09 17:00:00,1.60
2019-07-09 18:00:00,1.56
2019-07-09 19:00:00,1.52
2019-07-09 20:00:00,1.48
2019-07-09 21:00:00,1.45
2019-07-09 22:00:00,1.41
2019-07-09 23:00:00,1.37
2019-07-10 00:00:00,1.34
2019-07-10 01:00:00,1.30
2019-07-10 02:00:00,1.27
2019-07-10 03:00:00,1.24
2019-07-10 04:00:00,1.21
2019-07-10 05:00:00,1.18
2019-07-10 06:00:00,1.15
2019-07-10 07:00:00,1.12
2019-07-10 08:00:00,1.09
2019-07-10 09:00:00,1.06
2019-07-10 10:00:00,1.04
2019-07-10 11:00:00,1.01
2019-07-10 12:00:00,0.98
2019-07-10 13:00:00,0.96
2019-07-10 14:00:00,0.93
2019-07-10 15:00:00,0.91
2019-07-10 16:00:00,0.89
2019-07-10 17:00:00,0.87
2019-07-10 18:00:00,0.84
2019-07-10 19:00:00,0.82
2019-07-10 20:00:00,0.80
2019-07-10 21:00:00,0.78
2019-07-10 22:00:00,0.76
2019-07-10 23:00:00,0.74
2019-07-11 00:00:00,0.72
